Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W251700074093001,BHILWARA,Raipur,DEVARIA,74.16,25.28,1.4,33.6,525,18.54,17.01,16.92,15.24,26.1,21,24.53,25.4,7.56,3.99,7.61,10.16
W254807074523001,BHILWARA,SHAHPURA,Devariya,74.88,25.8,0.5,200,326,5.18,3.58,3.51,2.85,3.9,3.45,3.7,3.85,-1.28,-0.13,0.2,1
W253353074492701,BHILWARA,SHAHPURA,Dhikola Pz,74.82,25.57,0.5,200,346,5.45,4,3.7,4.13,6,3,2.6,2.65,0.55,-1,-1.1,-1.48
W254050074272701,BHILWARA,Asind,Dholi Pz,74.46,25.68,0.5,200,412,18.55,13.9,8.03,11.92,18.6,10.15,9.4,9.5,0.05,-3.75,1.38,-2.42
W251143074173901,BHILWARA,Sahara,Galodiya,74.29,25.2,0,24.3,477.425,13.53,12.92,13.76,14.77,18.5,16.8,20.88,15.6,4.97,3.88,7.12,0.83
W251300074153501,BHILWARA,Sahara,GANGAPURI,74.26,25.22,0.42,25.53,506,14.9,10.1,9.16,8.69,11.08,9.38,8.6,9.63,-3.82,-0.71,-0.56,0.94
W251050074374801,BHILWARA,Suwana,HAMIRGARH,74.63,25.18,0.81,25,421,14.76,8.29,8.83,12.51,21.19,10.49,8.34,8.99,6.43,2.2,-0.49,-3.52
W253240074302701,BHILWARA,Asind,Jeewaliya,74.51,25.54,0.7,17,458,12.45,7.25,7.09,8.07,8.5,6.6,6.01,8.7,-3.95,-0.65,-1.08,0.63
W254520074542001,BHILWARA,SHAHPURA,KANCHAN - KALA,74.91,25.76,1,10.5,369,4.99,2.56,2.58,2.41,4.3,2.7,2.8,3.15,-0.69,0.14,0.22,0.74
W251322074253001,BHILWARA,Suwana,Karoi Kalan,74.43,25.22,1.5,25,461,13.45,14.45,8.83,9.3,2.7,9.9,14.38,7.45,-10.75,-4.55,5.55,-1.85
W252214074463001,BHILWARA,Suwana,KODUKOTA,74.78,25.37,0.35,25,406,12.47,9.43,7.53,6.75,9.05,8.75,9.15,4.1,-3.42,-0.68,1.62,-2.65
W251828074105501,BHILWARA,Sahara,KOSHITHAL,74.18,25.31,0.5,200,475,8.85,6.3,1.76,2.55,6,4.7,3.18,3.3,-2.85,-1.6,1.42,0.75
W252350074533001,BHILWARA,Kotri,KOTARI,74.89,25.4,1.13,17.63,379,10.39,6.41,6.07,7.79,7.07,3.97,4.29,3.37,-3.32,-2.44,-1.78,-4.42
W250915075071701,BHILWARA,Mandalgarh,Ladpura,75.12,25.15,0.21,20,397,6.99,5.78,4.36,4.46,15,4.69,4.26,3.95,8.01,-1.09,-0.1,-0.51
W253910075225701,BHILWARA,Jahazpur,Luhari Kallan,75.38,25.65,0.5,200,293,11.04,8.55,3.9,7.35,13.1,4.8,3.95,4.2,2.06,-3.75,0.06,-3.15
